433477,Especial fin de ano 1997,1997
433485,Espejo público,1996
434073,Espejo secreto,1997
436447,Esta es mi tierra,1983
436453,Esta es su casa,1990
436490,Esta noche cruzamos el Mississippi,1995
436669,Esta noche Pedro,1986
436679,Esta noche,1981
436684,"Esta noche, fiesta",1976
436698,"Esta noche, sexo",1995
436717,Esta semana,1982
436745,Estació d'enllaç,1994
436889,Estadio 2,1984
437454,Estamos de vuelta,1995
437495,Estamos en directo,1999
437516,Estamos todos locos,1994
437534,Este no es el programa de los viernes,1998
437553,Este país necesita un repaso,1993
437581,Este señor de negro,1975
437713,Estimada Mary,1992
437715,Esto es espectáculo,1994
437764,Esto es lo que hay,1985
437765,Esto es lo que hay,1995
437924,Esto me suena,1999
437961,Esto no es lo que parece,1994
437991,Esto se anima,1993
437992,Esto é noticia,1995
437993,Estoc de pop,1984
438540,Estress,1991
438548,Estudi 8,1992
440021,Etcétera,1977
440023,Etcétera,1990
440544,Eurocops,1988
440653,"Europa, Europa",1987
440871,Eurovisión Siglo XX,1998
440937,Eva a las diez,1977
441081,"Eva y Adán, agencia matrimonial",1990
443371,Evocación,1982
444938,Exterior día,1981
445120,Extra Rosa,1997
445795,Extra,1996
445807,Extramuros,1988
449595,Facer memoria,1998
457635,Famosos y familia,1999
457925,Fanatico,1992
458249,Fantaghiró,1999
458743,Fantàstic,1992
458839,Fantástico,1978
459215,Farmacia de guardia,1991
461805,"Fatal, fatal, fatal",1991
462820,Fe de vida,1992
463830,Feitos,1994
464104,Fem 40 anys,1999
464157,Fem tele,1998
464580,Fernández y familia,1998
464780,Fes flash!!!,1984
464790,Festa amb Rosa Maria Sardà,1979
464806,Festa,1997
465258,Fetiche,1996
465564,Fiebre del domingo noche,1999
466174,Fila 7,1983
466543,Filiprim,1986
467511,Fin de siglo,1985
470122,Flamingo Berria,1993
470305,"Flash, el juego de las noticias",1999
471834,Flipping con el zapping,1991
473694,FM 2,1988
474051,Follow Through,1986
478140,Fortunata y Jacinta,1980
478573,Força Barça,1994
481115,Fragmentos de interior,1984
486932,Frontera límite,1994
488609,Fuerzas ocultas,1995
489705,Función de noche,1995
489721,Función de tarde,1994
490183,Funtzioa,1989
490246,Furor,1998
491157,Futbolísimo,1991
491796,Fóra de xogo,1994
492490,Fútbol en acción,1981
492491,Fútbol es fútbol,1994
492521,Fútbol Primera División 1997/1998,1997
492522,Fútbol Primera División,1996
493890,Gaceta cultural,1979
494498,Gala del deporte,1996
495031,Galegos,1985
495032,Galeguidade,1995
495047,Galeria de personatges,1991
495049,Galeria oberta,1985
495092,Galicia de noite,1986
495093,Galicia directo,1998
495094,Galicia en pé de festa,1991
495096,Galicia enteira,1993
495126,Galicia máxica,1985
495127,Galicia no tempo,1991
495129,Galicia terra única,1997
497944,Gatos en el tejado,1988
499543,Generació D,1997
499613,Generación 800,1985
503769,Genio y figura,1994
504022,Gente con chispa,1999
504030,Gente de primera,1993
504133,Gente hoy,1976
504146,Gente,1995
512838,Gimnasia infantil,1995
515016,Glasnost,1989
521429,Goenkale,1994
521906,Gol Nord,1997
521924,Gol... y al mundial 82,1981
522194,Goles son amores,1992
522327,Gomaespuma,1994
530507,Goya,1985
530879,Gracias pola galega,1992
530880,Gracias por todo,1997
531227,Gran casino,1989
531231,Gran fiesta,1994
531596,Gran teatre,1980
531913,Grand Prix,1995
532049,Grand Slam,1994
536449,Griot,1992
542950,Habitación 503,1993
543183,Hablando claro,1987
543200,Hablando con Gemma,1996
543201,Hablando se entiende la basca,1991
543223,Hablando se entiende la gente,1990
543229,Hablemos claro,1999
543230,Hablemos de amor,1984
543245,Hablemos de sexo,1990
543252,Hablemos,1977
544096,Hai que ver,1996
544485,Hale Bopp,1997
550173,Happy House,1999
554406,Hasta luego cocodrilo,1991
559321,Heart of the Dragon,1985
565445,Hermanas,1998
565512,Hermanos de leche,1994
565913,Hermida y Cía,1993
572431,"Hip, hip, hipnosis",1994
572945,Historias cortas,1990
573480,Historias de Infoville,1999
573515,Historias de la puta mili,1994
573533,Historias de la vida,1995
573562,Historias del otro lado,1988
574327,Històries de cara i creu,1986
574339,Històries obertes,1978
576230,Hola chicos,1984
576260,"Hola, hola, hola",1997
576269,"Hola, ola",1996
589102,Homenaje a Lorca,1985
589113,Homenots,1999
591321,Hora 15,1977
591367,Hora límite,1995
591570,Hora punta,1999
591721,Horas doradas,1980
592657,Horizontes,1977
593496,Hospital,1996
593570,Hostal Royal Manzanares,1996
605393,Hoy de 6 a 7,1990
605394,Hoy de mañana,1998
605460,Hoy en casa,1998
605469,Hoy es posible,1997
605496,Hoy por hoy,1976
605497,Hoy por tí,1996
606651,Humor amarillo,1990
606653,Humor cinco estrellas,1991
608500,Hyakutake,1998
610708,"I ara què, Xènia?",1993
612958,I misteri della giungla nera,1991
616411,Identitats - Rastres,1985
616424,Identitats,1984
618839,Il giovane Mussolini,1993
618992,Il segreto del Sahara,1988
620122,Im presionante,1998
621078,Imos aló?,1989
621079,Imos ver,1986
