26562,"Alig, Michael",m,"South Bend, Indiana, USA",29 April 1966
26705,"Alion, Yves",m,,
26724,"Aliotti, Claudio",m,,
26768,"Alises, Adolfo",m,,
26770,"Alises, José",m,,
26812,Alito,m,,
26980,"Alkain, Angel",m,"Andoian, Guipúzcoa, País Vasco, Spain",1966
27086,"Alkorta, Joseba",m,,
27173,"Allain, Bruno",m,,
27544,"Allard, Philippe",m,,
28108,"Allen, David",m,,
28503,"Allen, Jim",m,"Manchester, UK",7 October 1926
28530,"Allen, John",m,,
28536,"Allen, John",m,"Sydney, Australia",4 December 1944
28998,"Allen, Raúl",m,,
29211,"Allen, Stanford C.",m,,
29420,"Allen, Woody",m,"Brooklyn, New York City, New York, USA",1 December 1935
29462,"Allende, Alfredo",m,,
29468,"Allende, Emiliano",m,,
29471,"Allende, Fernando",m,"Mexico City, Distrito Federal, Mexico",10 November 1952
29516,"Aller, Javier",m,"Madrid, Spain",20 April 1972
29520,"Aller, Luis",m,"Toral de los Vados, León, Castilla y León, Spain",1961
29536,"Allerson, Alexander",m,"Osterode, East Prussia, Germany [now Ostróda, Warminsko-Mazurskie, Poland]",19 May 1930
29780,"Allio, Pascal",m,,
30100,"Allouache, Merzak",m,"Algiers, Alger, France [now Algeria]",6 October 1944
30256,"Allwood, Robert",m,,
30335,"Almacellas, José María",m,,
30344,"Almada, Fernando",m,"Mexico, Distrito Federal, Mexico",26 February 1929
30351,"Almada, Izaías",m,,
30363,"Almada, Mario",m,"Huatabampo, Sonora, Mexico",7 January 1922
30385,"Almagro, Iván",m,,
30423,"Almandoz, David",m,,
30424,"Almandoz, Koldo",m,"Donostía, Spain",1973
30432,"Almansa, Fidel",m,,
30529,"Almazán, Roberto",m,,
30569,"Almeida, Altino",m,,
30717,"Almela, Fernando",m,,
30725,"Almenara, Serafín",m,,
30727,"Almenares, Ramón",m,,
30741,"Almendros, Germán",m,,
30743,"Almendros, Manuel",m,"Cuenca, Castilla-La Mancha, Spain",1 January 1940
30745,"Almendros, Néstor",m,"Barcelona, Barcelona, Catalonia, Spain",30 October 1930
30834,"Almodóvar, Agustín",m,,
30835,"Almodóvar, Cristino",m,,
