AA,2008-10-25,86,NAS,19
AA,2008-10-26,86,NAS,23
AA,2008-10-27,86,NAS,20
AS,2008-10-25,87,NAS,35
B6,2008-10-25,87,NAS,369
WN,2008-10-25,88,NAS,3
WN,2008-10-25,88,NAS,17
UA,2008-10-25,88,NAS,50
US,2008-10-27,88,NAS,15
DL,2008-10-25,89,NAS,30
FL,2008-10-26,89,NAS,20
UA,2008-10-25,90,NAS,65
UA,2008-10-27,90,NAS,17
B6,2008-10-27,90,NAS,20
CO,2008-10-25,90,NAS,52
DL,2008-10-25,91,NAS,6
DL,2008-10-26,91,NAS,15
AS,2008-10-25,91,NAS,31
B6,2008-10-26,91,NAS,27
B6,2008-10-25,92,NAS,36
FL,2008-10-27,93,NAS,2
DL,2008-10-25,94,NAS,31
B6,2008-10-25,94,NAS,24
FL,2008-10-27,95,NAS,1
UA,2008-10-25,95,NAS,4
AS,2008-10-25,95,NAS,26
B6,2008-10-25,95,NAS,39
FL,2008-10-26,96,NAS,15
US,2008-10-27,96,NAS,10
B6,2008-10-25,96,NAS,176
AS,2008-10-25,97,NAS,25
B6,2008-10-25,97,NAS,46
DL,2008-10-25,98,NAS,138
FL,2008-10-25,98,NAS,7
FL,2008-10-26,98,NAS,21
DL,2008-10-25,99,NAS,19
DL,2008-10-27,99,NAS,23
AS,2008-10-25,99,NAS,30
AS,2008-10-25,101,NAS,33
FL,2008-10-27,102,NAS,11
US,2008-10-25,103,NAS,21
US,2008-10-27,103,NAS,47
AS,2008-10-25,103,NAS,22
DL,2008-10-26,105,NAS,13
DL,2008-10-25,106,NAS,27
DL,2008-10-27,106,NAS,19
AS,2008-10-25,109,NAS,18
